Bid Details,
Bid End Date/Time,20-08-2021 12:00:00
Bid Opening Date/Time,20-08-2021 12:30:00
Bid Life Cycle (From Publish Date),90 (Days)
Bid Offer Validity (From End Date),65 (Days)
Ministry/State Name,Ministry Of Defence
Department Name,Department Of Defence Production
Organisation Name,Indian Ordnance Factories
Office Name,***********
Total Quantity,1
Item Category,"HYDRAULIC HIGH RISE WORKING PLATFORM MOUNTEDWITH TRUCK"
Years of Past Experience required,3 Year (s)
"MSE Exemption for Years Of Experienceand Turnover",Yes
"Startup Exemption for Years Of Experienceand Turnover",Yes
Document required from seller,"Experience Criteria,Past Performance,Certificate (Requestedin ATC),OEM Authorization Certificate,Additional Doc 1(Requested in ATC)*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer"
Past Performance,50 %
Bid to RA enabled,No
"Time allowed for Technical Clarificationsduring technical evaluation",3 Days
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",Yes
"Inspection to be carried out by Buyers ownempanelled agency",Yes
Type Of Inspection,Pre Dispatch
"Name of the Empanelled InspectionAgency/ Authority",Board of Officers
Quality Assurance Plan document,1627361307.pdf
Evaluation Method,Total value wise evaluation
"",Required,,No,
"",Advisory Bank,,State Bank of India,
ePBG Percentage(%),,3.00,,
Duration of ePBG required (Months).,,14,,
"",MII Purchase Preference,,Yes,
"",MSE Purchase Preference,,Yes,
Brand Type,Unbranded,
"",Buyer Specification Document,,Download,
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer1**********************MEDAK1180",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,***********,,***********MEDAK,,1,,180,
