RA Details,,,
RA Technical End Date/Time,,02-08-2021 14:00:00,
RA Opening Date/Time,,02-08-2021 14:30:00,
RA Life Cycle (From Publish Date),,90 (Days),
RA Offer Validity (From End Date),,75 (Days),
Ministry/State Name,,Ministry Of Railways,
Department Name,,Na,
Organisation Name,,N/a,
Office Name,,East Central Railway,
Total Quantity,,3,
Item Category,,Television TV,
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
Document required from seller,,"Experience Criteria,OEM Authorization Certificate*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",,No,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
Brand Type,Registered Brand
Specification,Specification Name,Bid Requirement (Allowed Values)
Specifications,Type,LED Backlit LCD
"",Screen Size (Inches),"32, 39, 40, 42, 43, 47, 49, 50, 52, 55, 60, 65, 70, 75,77, 80, 82, 85, 86, 90, 95, 98, 100 Or higher"
"",Resolution (Pixels),"(1366 x 768) HD Ready, (1920 x 1080) Full HD,(3840x2160) UHD Or higher"
"",Category,Smart Or higher
"","Operating System in case ofSmart TV","Web OS, Tizen, Android, Linux Or higher"
"",Typical Brightness,"200 - 299, 300 - 399, 400 - 500 Or higher"
"",Screen Mirroring,Yes Or higher
"",Mount Type,Both table and wall mount
"",Inbuilt Speakers,Yes Or higher
"","If Yes, Wattage of Speakers","10W x 2, 12W x 2, 20W x 2 Or higher"
"",Sub Woofers,"Yes, No Or higher"
Ports & Connectivity,Number of HDMI Ports,"3, 4, 5 Or higher"
"",Number of USB Ports,"2, 3, 4 Or higher"
"",Number of VGA Ports,1 Or higher
"",Number of Ethernet Ports,1 Or higher
"",Built-in Wi-fi,Yes Or higher
"",Wi-fi Direct,Yes Or higher
Input,Composite Input,Yes Or higher
"",Component Input,Yes Or higher
"",RF Input,Yes Or higher
Accessories,Built-in set-top Box,"Yes, No Or higher"
"","Details of accessories (includedin the scope of supply)","Remote Control, Connecting Cable, Batteries"
Certification,"Energy Star Rating in linewith the Government ofIndiia Notification number SO 1896(E) and S O 1897(E)","2, 3, 4, 5 Or higher"
Specification,Specification Name,Bid Requirement (Allowed Values)
Warranty,Warranty(Years),1
S.No.,"Consignee/Reporting Officer",Address,Quantity,Delivery Days
1,Naushad Alam,"844101,Office of Principal ChiefMaterial Manager, Ground floor,Old G.M.Building, East CentralRailway Hajipur",3,15
