RA Details,,,
RA Technical End Date/Time,,16-08-2021 13:00:00,
RA Opening Date/Time,,16-08-2021 13:30:00,
RA Life Cycle (From Publish Date),,90 (Days),
RA Offer Validity (From End Date),,30 (Days),
Ministry/State Name,,Ministry Of Health And Family Welfare,
Department Name,,Department Of Health And Family Welfare,
Organisation Name,,N/a,
Office Name,,"Dr. Ram Manohar Lohia Hospital, New Delhi",
Total Quantity,,1,
Item Category,,Ultra low temperature laboratory deep freezer,
Average Turnover (Last 3 Years),,2 Lakh (s),
OEM Average Turnover (Last 3 Years),,4 Lakh (s),
Experience Criteria,,3 Year (s),
"MSE Exemption for Years Of Experienceand Turnover",,Yes,
"Startup Exemption for Years of Experienceand Turnover",,No,
Document required from seller,,"Experience Criteria,Past Performance,BidderTurnover,Certificate (Requested in ATC),OEM AuthorizationCertificate,OEM Annual Turnover,Additional Doc 1(Requested in ATC)*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
Past Performance,,50 %,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Advisory Bank,,Bank Of Baroda,
"",ePBG Percentage(%),,3.00,
"",Duration of ePBG required (Months).,,62,
Brand Type,Registered Brand,
Specification,Specification Name,Bid Requirement (Allowed Values)
Standards,Conformity to Standards,USFDA
"PerformanceParameters",Purpose,"Used for storage of various samples , sensitive stemcells, plasma , semen , virus, bone graft and otherbiological samples"
"",Capacity in liters,701-750 L
"",Type of Cabinet,Vertical
"",Ground clearance in mm,100 mm
"","Should have heavy dutylockable castors andlevelling for adjustmentsand installation",Yes
"",Refrigerants,"CFC-free, HCFC-free non flammable refrigerants"
"",Number of holding racks,"15, 25, 24, 30, 20, 0, 1"
"",Control system,"Fully programmable microprocessor controlled withmembrane keypad and eye level control panel"
"","Number of inner storagecompartments withinsulated doors andadjustable height",4
"","Should have battery back up forthe display and security lock forthe display",Yes
"",Alarms,"Alarms for audible and visible alarm system forunwanted temperature rise, sudden power failure ,system failure and battery low"
"",Number of compressor,2
"","Warranty of Freezer (exceptcompressor) in Years (fromthe date of installation)",5
"AdditionalParameters","CO2 cylinder should be suppliedwith freezer for backup",Yes
"Number of corrosionresistant racks",3,
"Pairs of Cryogloves to beprovided",1,
"Number of Ice scraper to beprovided",1,
"Tempearture Chart recorderto be provided","Yes, No",
"Availability of USB port todownload event log andfreezer setting","Yes, No",
"","Specification ParameterName",,Bid Requirement (Allowed Values),
"",,,,
"",Warranty & CMC,,"Five years warranty thereafter 5 years CMC, separate rates to be quoted.",
"",Demonstation,,Physical demonstration is must,
"",Purpose,,Storage of fresh frozen plasma,
"",Hold Over time,,"full load of plasma packs at -55 deg takes atleast one hr to rise above-22deg & 32 hrs to rise above-5deg",
"","Cool down time & No ofcorrosion resistant racks",,"full load of plasma packs at +25 deg takes maximum of 5 hrs for all packs toreach below -5deg & 30 hrs to reach below -20deg, four",
S.No.,"Consignee/Reporting Officer",Address,Quantity,Delivery Days,
1,Amit Kumar Mann,"110001,dr. ram manohar lohiahospital baba kharak singh margnew delhi",1,30,
