RA Details,,,
RA Technical End Date/Time,,10-08-2021 17:00:00,
RA Opening Date/Time,,10-08-2021 17:30:00,
RA Life Cycle (From Publish Date),,90 (Days),
RA Offer Validity (From End Date),,70 (Days),
Ministry/State Name,,Ministry Of Home Affairs,
Department Name,,Na,
Organisation Name,,N/a,
Office Name,,Adminiii Hall No2 North Block New Delhi110001,
Total Quantity,,14,
Item Category,,"Desktop Computers , Hard disk drives",
Average Turnover (Last 3 Years),,7 Lakh (s),
Experience Criteria,,3 Year (s),
"MSE Exemption for Years Of Experienceand Turnover",,Yes,
"Startup Exemption for Years Of Experienceand Turnover",,Yes,
Document required from seller,,"Experience Criteria,Bidder Turnover,Certificate (Requestedin ATC),OEM Authorization Certificate*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
Primary Product,,Desktop Computers,
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",,No,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
Brand Type,Registered Brand
Specification,Specification Name,Bid Requirement (Allowed Values)
Motherboard,Chipset Series,Intel Q Series Or higher
"",Chipset Number,"Intel H 470, Intel B 460, Intel H 410, Intel Z 490, IntelQ 470 Or higher"
Processor,Processor Make,Intel
"",Processor Generation,10.0 Or higher
"","Number of Cores perProcessor","10, 12 Or higher"
"",Processor Description,Intel Core i9 Or higher
"",Processor Number,"Intel Core i9 10900K, Intel Core i9 10900KF, Intel Corei9 10900, Intel Core i9 10900F, Intel Core i9 10900T Orhigher"
Operating System,"Operating System (FactoryPre-Loaded)",Windows 10 Professional
Specification,Specification Name,Bid Requirement (Allowed Values)
Memory,RAM Size (GB),"64, 128 Or higher"
"","RAM Expandability up to(using spare DIMM Slots inGB)",128 Or higher
Storage,"Type of Drives used topopulate the Internal Bays","HDD, SSD"
"",Total HDD Capacity (GB),"1000, 1500, 2000, 2500, 3000, 4000 Or higher"
"",Total SSD Capacity (GB),"512, 768, 1024, 2048, 4096 Or higher"
"","Total SSHD Capacity inaddition to 8 GB Flash (GB)","500, 1000, 2000, 0 Or higher"
Cabinet,Cabinet Form Factor,Tower (13.1 to 26 Litres)
Monitor,Monitor Technology,"IPS, TN, VA Or higher"
"","LED Backlit Monitor Size(INCHES)","27, 32 Or higher"
"",Monitor Resolution (PIXELS),"1920x1080, 1920 x 1200, 3200x1800, 3840 x 2160,2560 x 1440 Or higher"
Warranty,"On Site OEM Warranty(Year)","3, 5, 4 Or higher"
S.No.,"Consignee/Reporting Officer",Address,Quantity,Delivery Days
1,Ashish Kumar,"110001,Ministry of Home Affairs(P), North Block, New Delhi",9,15
Brand Type,Registered Brand
Specification,Specification Name,Bid Requirement (Allowed Values)
Specification,Capacity of Drive (GB),3840
Type of Drive,SSD,
Interface Type,SATA,
Warranty (Years),1,
S.No.,"Consignee/Reporting Officer",Address,Quantity,Delivery Days
1,Ashish Kumar,"110001,Ministry of Home Affairs(P), North Block, New Delhi",5,15
