RA Details,,,
RA Technical End Date/Time,,04-08-2021 20:00:00,
RA Opening Date/Time,,04-08-2021 20:30:00,
RA Life Cycle (From Publish Date),,90 (Days),
RA Offer Validity (From End Date),,75 (Days),
Ministry/State Name,,Ministry Of Coal,
Department Name,,Materials Management,
Organisation Name,,Northern Coalfields Limited,
Office Name,,Singrauli,
Total Quantity,,55020,
Item Category,,Anti Wear Hydraulic Oil As Per Is: 11656-IS: 11656,
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
"Time allowed for Technical Clarificationsduring technical evaluation",,7 Days,
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",,No,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Advisory Bank,,ICICI,
"",ePBG Percentage(%),,3.00,
"",Duration of ePBG required (Months).,,18,
Brand Type,Registered Brand
Specification,Specification Name,Bid Requirement (Allowed Values)
Grade,"Grade of Anti Wire HydraulicOil",VG-46
"Kinematic viscosity at 40°C,cSt",(41.4-50.6) for VG 46 grade,
"Viscosity index, Min","90 (for VG 32, VG 46, VG 68, VG 100, VG 150 grade)",
"Pour point,°C, Max","Minus 3 (for VG 32, VG 46 grade)",
"Flash point( COC ),°C, Min","180 (for VG 32, VG 46 grade)",
"Emulsion characteristics, Max",40-37-3 (20) for VG 46 grade,
"Air release value, minutes to 0point 2 percent volume aircontent at 50°C, Max",10 for VG 46 grade,
"Oxidation test for 1000 hours:Neutralization number of oil, mgKOH/g, Max","2 (for VG 32, VG 46, VG 68, VG 100, VG 150 grade)",
"Oxidation test for 1000 hours:Total sludge in oil and waterlayer plus those adhering to thecatalyst coils or test tubemg,Max","100 (for VG 32, VG 46, VG 68, VG 100, VG 150 grade)",
"Oxidation test for 1000 hours:Metal in combined oil, waterand sludge Copper, mg, Max","50 (for VG 32, VG 46, VG 68, VG 100, VG 150 grade)",
"Oxidation test for 1000 hours:Metal in combined oil, waterand sludge: Iron, mg, Max","50 (for VG 32, VG 46, VG 68, VG 100, VG 150 grade)",
"Hydrolvtic stability : Copperspecimen mass loss, mg/cm","0.5 (for VG 32, VG 46, VG 68, VG 100, VG 150 grade)",
"Hydrolytic stability : Acidity ofwater layer, mg KOH,Max","6 (for VG 32, VG 46, VG 68, VG 100, VG 150 grade)",
Specification,Specification Name,Bid Requirement (Allowed Values)
"","Four ball wear test at 20 kgload;Wear scar diameter,mm,Max","0.35 (for VG 32, VG 46, VG 68, VG 100, VG 150 grade)"
"","Pump wear test ( Vickers 104C,250 hours test );Total mass lossto rings and vanes; mg,Max","50 (for VG 32, VG 46, VG 68, VG 100, VG 150 grade)"
