RA Details,,,
RA Technical End Date/Time,,05-08-2021 15:00:00,
RA Opening Date/Time,,05-08-2021 15:30:00,
RA Life Cycle (From Publish Date),,90 (Days),
RA Offer Validity (From End Date),,30 (Days),
Ministry/State Name,,Ministry Of Home Affairs,
Department Name,,Central Armed Police Forces,
Organisation Name,,Border Security Force (bsf),
Office Name,,22 Bn Bsf Punjab,
Total Quantity,,1,
Item Category,,Television TV ( PAC Only ),
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
"Time allowed for Technical Clarificationsduring technical evaluation",,5 Days,
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",,No,
Estimated RA Value,,30000,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
Make,lg
Model,43ut640s
Brand Type,Registered Brand
Specification,Specification Name,Bid Requirement (Allowed Values)
Specifications,Type,LED Backlit LCD
"",Screen Size (Inches),"42, 43, 47, 49, 50, 52, 55, 60, 65, 70, 75, 77, 80, 82,85, 86, 90, 95, 98, 100 Or higher"
"",Resolution (Pixels),(3840x2160) UHD Or higher
"",Category,Smart Or higher
"","Operating System in case ofSmart TV","Web OS, Tizen, Android, Linux Or higher"
"",Typical Brightness,"300 - 399, 400 - 500 Or higher"
"",Screen Mirroring,Yes Or higher
"",Mount Type,Both table and wall mount
"",Inbuilt Speakers,Yes Or higher
"","If Yes, Wattage of Speakers","10W x 2, 12W x 2, 20W x 2 Or higher"
"",Sub Woofers,"Yes, No Or higher"
Ports & Connectivity,Number of HDMI Ports,"1, 2, 3, 4, 5 Or higher"
"",Number of USB Ports,"1, 2, 3, 4 Or higher"
"",Number of VGA Ports,"0, 1 Or higher"
"",Number of Ethernet Ports,1 Or higher
"",Built-in Wi-fi,Yes Or higher
"",Wi-fi Direct,Yes Or higher
Input,Composite Input,"Yes, No Or higher"
Component Input,"Yes, No Or higher",
RF Input,Yes Or higher,
Built-in set-top Box,"Yes, No Or higher",
"Details of accessories (includedin the scope of supply)","Remote Control, Connecting Cable, Batteries",
Specification,Specification Name,Bid Requirement (Allowed Values)
Certification,"Energy Star Rating in linewith the Government ofIndiia Notification number SO 1896(E) and S O 1897(E)","1, 2, 3, 4, 5, NA Or higher"
Warranty,Warranty(Years),"1, 2, 3, 4, 5"
S.No.,"Consignee/Reporting Officer",Address,Quantity,Delivery Days
1,Amulya Kumar,"143105,22 BN BSF CAMP,RAMTIRTH, POST OFFICE-CHHEHARTA, DIST-AMRITSAR,STATE-PUNJAB PIN-143105",1,15
