RA Details,,,
RA Technical End Date/Time,,04-08-2021 13:00:00,
RA Opening Date/Time,,04-08-2021 13:30:00,
RA Life Cycle (From Publish Date),,90 (Days),
RA Offer Validity (From End Date),,30 (Days),
Ministry/State Name,,Bihar,
Department Name,,Urban Development & Housing Department Bihar,
Organisation Name,,Urban Development And Housing Department,
Office Name,,Nagar Parishad Barbigha,
Total Quantity,,3,
Item Category,,Hopper Tipper Dumper,
Average Turnover (Last 3 Years),,15 Lakh (s),
OEM Average Turnover (Last 3 Years),,126 Lakh (s),
Experience Criteria,,3 Year (s),
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
Document required from seller,,"Experience Criteria,Past Performance,BidderTurnover,Certificate (Requested in ATC),OEM AuthorizationCertificate,OEM Annual Turnover*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
Past Performance,,80 %,
Evaluation Method,,Total value wise evaluation,
"",Advisory Bank,,State Bank of India,
"",EMD Percentage(%),,2.00,
"",EMD Amount,,64200,
"",Advisory Bank,,State Bank of India,
"",ePBG Percentage(%),,3.00,
"",Duration of ePBG required (Months).,,6,
Brand Type,Registered Brand,
Specification,Specification Name,Bid Requirement (Allowed Values)
Certification,Chassis Certification,ARAI
"Chassis CertificationARAI/VRDE/ICAT No",aapn-0162,
Type of TIPPER,Garbage Tipper,
"Type of TIPPER if other tipper,please declare type of Tipper,",boxtipper,
Type of Chassis Frame,Conventional,
"Category of Vehicle forwhich Chassis to be used",Light Capacity Commercial Vehicles,
Type of Chasssis,Chassis with Facecowl,
Type of Fuel,Diesel,
Vehicle Emission Complaince,BS-VI,
"Fuel Consumption ( declared byOEM as certified by Test Agencyunder Rule 115of CMVR 1989)(Kmpl)",17.46,
"Speed, Max (Km/Hr)",80,
"Max Engine Power BHP(BHP@rpm)",More than 70.0 Or higher,
Rated RPM at Max Engine Power,4000,
"Max Engine Torque (N-M@rpm)",More than 140.0 Or higher,
"Rated RPM at Max EngineTorque",1800,
Main Engine Aspiration,Natural Aspiration,
"No. of Cylinder in Main Engine(Nos)",4,
Fuel Tank Capacity (Ltrs),35.0,
"Gradeability of Vehicle withload( %)",28.11,
Ground Clearance (mm),175.0,
Wheel Base (mm),2450.0,
Kerb Weight (Kg),1265.0,
Gross Vehicle Weight (Kg),More than 2565.0 Or higher,
"Type of BIS MARKED VehicleTyre",Radial,
"Chassis TransmissionSystem",Manual,
"Number of Speed/ ForwardGears",5,
Type of Steering,Power Operated,
"Turning Radius,Min (mm)",Less than 5250.0 Or lower,
Specification,Specification Name,Bid Requirement (Allowed Values)
"",Front Vehicle Brake,discbrakehydraulic
"",Rear Vehicle Brake,drumbrakehydraulic
"",Type of Clutch,singledryplate
"",Tipping Angle (Degree),45
"","Tipper Containercapacity/Volume(cubicmetres)",3.3 - 20.0 Or higher
"ConsructionalParameters",Size Of Front Tyres (mm),185r14-8prradial
"",Size Of Rear Tyres (mm),185r14-8prradial
"",Size of Wheel (mm),355.6
"",Tipper body Pivot length (mm),1975.0
"",Tipper body Length (mm),2700.0
"",Tipper Body Height (mm),940.0
"","Overall Height of Tipper fromGround (mm)",1945.0
"",Body Plate Thickness (mm),More than 1.6 Or higher
"",Main Frame Thickness (mm),More than 3.0 Or higher
"",Tipper Container Material,Mild Steel
"","Thickness of sheet from tipperCollector Container Made (mm)",1.6
"",Paint,Automotive Paint
"PerformanceParameters",Warranty Time (Month),12.0
Battery Warranty (Months),"12, 24, 36 Or higher",
S.No.,"Consignee/Reporting Officer",Address,Quantity,Delivery Days
1,Subrat Kumar,"811101,SARMERA BIHAR ROADNEAR SBI BANK NAGAR PARISHADOFFICE BARBIGHA",3,60
