RA Details,,,
RA Technical End Date/Time,,05-08-2021 12:00:00,
RA Opening Date/Time,,05-08-2021 12:30:00,
RA Life Cycle (From Publish Date),,90 (Days),
RA Offer Validity (From End Date),,30 (Days),
Ministry/State Name,,Gujarat,
Department Name,,Agriculture And Co-operation Department Gujarat,
Organisation Name,,Navsari Agricultural University Navsari,
Office Name,,Directorate Of Research,
Total Quantity,,44,
Item Category,,Ceiling Fan - BLDC,
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
Brand Type,Registered Brand
Specification,Specification Name,Bid Requirement (Allowed Values)
Specification,ISI Marked,Yes
"Size / Type /Performance As perIS 374 latest",Fan Size,1200.0
"","Minimum Air delivery andservice value",As per clause 8.1 of IS: 374 latest
Energy Efficiency,BEE Star Rating,"1 Star, 2 Star, 3 Star, 4 Star, 5 Star, NA (for BEE starrating not available) Or higher"
"DeclaredPerformance /AdditionalInformation","Air delivery at test voltage(m3/min)",240.0 - 600.0 Or higher
"",Power consumption (Maximum),10.0 - 48.0 Or lower
"","Service value at rated voltage(m3/min/w)",10.0 - 10.0 Or higher
"",Power factor,1
"",Number of blades,3
"",Type of Regulator,Without Regulator
"",Number of running position,NA (for without regulator)
"",class of Insulation,"Basic Insulation, Supplementary Insulation, DoubleInsulation, Reinforced Insulation"
"Material /Construction",Total Harmonic Distortion (%),0.0 - 1.0 Or lower
"",Standard Colour,White
"","Length of Down Rod (withoutShackle)",450.0
"",Overall weight of the ceiling fan,4.0
Salient Features,Salient Features,"Resistant to abrasion, Hassle-free operations, Trendydesign, Decorative Design, Remote Control"
"","Compliance to governingspecification (IS: 374 latest)",NA
Accessories,"Accessories in the scope ofsupply","Nut, Bolt, Clamp"
Warranty,Warranty ( in year) Min,"1, 2, 3, 5 Or higher"
Certification,"Type of lab which carried outTest of Complete Product toprove the conformity of productas per specification",OEM
S.No.,"Consignee/Reporting Officer",Address,Quantity,Delivery Days
1,"MahebubbhaiKasambhai Malek","396450,N M College ofAgriculture, Navsari AgriculturalUniversity, Eru Char rasta,Navsari",44,15
