Bid Details,
Bid End Date/Time,17-08-2021 19:00:00
Bid Opening Date/Time,17-08-2021 19:30:00
Bid Life Cycle (From Publish Date),90 (Days)
Bid Offer Validity (From End Date),30 (Days)
Ministry/State Name,Odisha
Department Name,"Skill Development And Technical Education Department.Odisha"
Organisation Name,N/a
Office Name,"Directorate Of Technical Education And Training , Odisha ,Cuttack"
Total Quantity,1
Item Category,boq
"Minimum Average Annual Turnover of theBidder",2 Lakh (s)
OEM Average Turnover (Last 3 Years),19 Lakh (s)
Years of Past Experience required,1 Year (s)
"MSE Exemption for Years Of Experienceand Turnover",Yes
"Startup Exemption for Years Of Experienceand Turnover",Yes
Document required from seller,"Experience Criteria,Past Performance,BidderTurnover,Certificate (Requested in ATC),OEM AuthorizationCertificate,OEM Annual Turnover,Additional Doc 1(Requested in ATC),Additional Doc 2 (Requested inATC),Additional Doc 3 (Requested in ATC),Additional Doc 4(Requested in ATC),Compliance of BoQ specification andsupporting document*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer"
Past Performance,10 %
Bid to RA enabled,Yes
"Time allowed for Technical Clarificationsduring technical evaluation",2 Days
Evaluation Method,Total value wise evaluation
"",Required,,No,
"",Required,,No,
"",MII Purchase Preference,,No,
"",MSE Purchase Preference,,Yes,
Brand Type,Unbranded,
"",Buyer Specification Document,,Download,
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer758036,Govt ITI1Shrikanta Tudu160Barbil,Matkambeda Kendujhar",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,Shrikanta Tudu,,"758036,Govt ITIBarbil,Matkambeda Kendujhar",,1,,60,
