RA Details,,,
RA Technical End Date/Time,,06-08-2021 14:00:00,
RA Opening Date/Time,,06-08-2021 14:30:00,
RA Life Cycle (From Publish Date),,90 (Days),
RA Offer Validity (From End Date),,30 (Days),
Ministry/State Name,,Odisha,
Department Name,,Housing And Urban Development Department Odisha,
Organisation Name,,Rairangpur Municipality,
Office Name,,Rairangpur Municipality,
Total Quantity,,2,
Item Category,,Plastic bailing machine,
Experience Criteria,,3 Year (s),
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
Document required from seller,,"Experience Criteria,Past Performance,BidderTurnover,Certificate (Requested in ATC),OEM AuthorizationCertificate,OEM Annual Turnover,Additional Doc 1(Requested in ATC),Additional Doc 2 (Requested inATC),Additional Doc 3 (Requested in ATC),Additional Doc 4(Requested in ATC),Compliance of BoQ specification andsupporting document*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
Past Performance,,80 %,
Estimated RA Value,,800000,
Evaluation Method,,Total value wise evaluation,
"",Advisory Bank,,HDFC Bank,
"",EMD Percentage(%),,5.00,
"",EMD Amount,,40000,
"",Advisory Bank,,HDFC Bank,
"",ePBG Percentage(%),,10.00,
"",Duration of ePBG required (Months).,,3,
Pre-Bid Date and Time,Pre-Bid Venue,
2021-07-28 11:00:00,EXECUTIVE OFFICER RAIRANGPUR MUNICIPALITY,
Brand Type,Registered Brand
Specification,Specification Name,Bid Requirement (Allowed Values)
Standards,"Bailing machine forpressing/ compressingproducts like plastic bottles,alluminium cans, disposableplastic items, etc",Yes
"PerformanceParameters","Vertical clamping force ofbailing machine",Hydraulic
"Material of the bailingmachine",Alloy steel,
"Bailing capacity of machinein tonne",25,
"Chamber size in mm x mm xmm",700 x 500 x 1400,
"Size of Bale (length x widthx height) (mm x mm x mm)",660 x 812 x 600,
Weight of Bale ( in kg),100-150,
"Cycle time per bale inminutes",15-20,
Number of cylinder,1,
Type of pump,Hydraulic system gear cum plunger pump system,
"Day light gap betweenbottom plate and pressingplate in mm",1400,
Motor power ( in HP),7.5,
Number of ties of rope,3,
Number of door,2,
Thickness of the body plate,8 mm,
"Thickness of the clampingplate",40 mm,
Control system of machine,Electrical,
Warranty,3,
S.No.,"Consignee/Reporting Officer",Address,Quantity,Delivery Days
1,Mrutyunjaya Pahi,"757043,EXECUTIVE OFFICER,RAIRANGPUR MUNICIPALITY,RAIRANGPUR",2,15
