Bid Details,
Bid End Date/Time,16-08-2021 14:00:00
Bid Opening Date/Time,16-08-2021 14:30:00
Bid Life Cycle (From Publish Date),90 (Days)
Bid Offer Validity (From End Date),65 (Days)
Ministry/State Name,Ministry Of Defence
Department Name,Department Of Defence Production
Organisation Name,Indian Ordnance Factories
Office Name,***********
Total Quantity,10
Item Category,TRACTION BATTERY 36V-320AH(TUBULAR)
"Minimum Average Annual Turnover of theBidder",8 Lakh (s)
OEM Average Turnover (Last 3 Years),8 Lakh (s)
Years of Past Experience required,3 Year (s)
"MSE Exemption for Years Of Experienceand Turnover",Yes
"Startup Exemption for Years Of Experienceand Turnover",Yes
Document required from seller,"Experience Criteria,Past Performance,Bidder Turnover,OEMAnnual Turnover,Additional Doc 1 (Requested in ATC)*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer"
Past Performance,50 %
Bid to RA enabled,Yes
"Time allowed for Technical Clarificationsduring technical evaluation",3 Days
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",Yes
"Inspection to be carried out by Buyers ownempanelled agency",Yes
Type Of Inspection,Post Dispatch
"Name of the Empanelled InspectionAgency/ Authority",Board of Officers
Evaluation Method,Total value wise evaluation
"",Advisory Bank,,Bank of India,
EMD Percentage(%),,3.00,,
EMD Amount,,64896,,
"",Advisory Bank,,Bank of India,
ePBG Percentage(%),,3.00,,
Duration of ePBG required (Months).,,14,,
"",MII Purchase Preference,,Yes,
"",MSE Purchase Preference,,Yes,
Brand Type,Unbranded,
"",Buyer Specification Document,,Download,
"",DrawingDocument1,,View,
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer1**********************JABALPUR1045",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,***********,,***********JABALPUR,,10,,45,
