RA Details,,,
RA Technical End Date/Time,,10-08-2021 14:00:00,
RA Opening Date/Time,,10-08-2021 14:30:00,
RA Life Cycle (From Publish Date),,90 (Days),
RA Offer Validity (From End Date),,60 (Days),
Ministry/State Name,,Ministry Of Defence,
Department Name,,Department Of Military Affairs,
Organisation Name,,Indian Navy,
Office Name,,***********,
Total Quantity,,4,
Item Category,,Platform Truck - as per IS:10311 latest,
Average Turnover (Last 3 Years),,6 Lakh (s),
OEM Average Turnover (Last 3 Years),,10 Lakh (s),
Experience Criteria,,3 Year (s),
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
Document required from seller,,"Experience Criteria,Past Performance,Bidder Turnover,OEMAuthorization Certificate,OEM Annual Turnover*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
Past Performance,,10 %,
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",,No,
Estimated RA Value,,1982400,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Advisory Bank,,State Bank of India,
ePBG Percentage(%),,3.00,,
Duration of ePBG required (Months).,,14,,
Brand Type,Registered Brand
Specification,Specification Name,Bid Requirement (Allowed Values)
Generic Parameters,"Conformity to IndianStandard",IS:10311 latest
"",ISI Marking,Yes
"",Rated load Capacity (Kg),2000
"",Type of Plateform Truck,Fixed
"",No. of Wheels (nos.),4
"","Min Power Rating of DCMotor (Kw)",2.6
"","Rated voltage of DC Motor(Volts)","48, 36"
"","Tubular Lead Acid TractionBattery of minimum 299 Ahcapacity @ 5 hr discharge",Yes
"",Platform Height (mm),650.0
"","Seating Height from ground(mm)",1250.0
"",Number of Seats (Nos.),2
"","Operating Floor Height(mm)",760.0
"","Minimum Turning Radius(mm)",3500.0
"",No. of Head Lights (Nos.),2
"",Ground clearance (mm),Any applicable numeric value
"","Maximum Speed in unladencondition (Km/hr)",8
"","Maximum Speed in ladencondition (Km/hr)",6
"",Wheel Base (mm),1860.0
"",Wheel Track (mm),1030.0
"",Type of Tyre,Solid
"",Tyre Size (mm),535
"","Tare weight of PlatformTruck (Kg)",Any applicable numeric value
"CertificationParamerters","Availability of complete &satisfactory test Reportfrom Central govt/ NABL/ILAC accredited laboratory",Yes
S.No.,"Consignee/Reporting Officer",Address,Quantity,Delivery Days
1,***********,***********VISAKHAPATNAM,4,50
