RA Details,,,
RA Technical End Date/Time,,03-08-2021 16:00:00,
RA Opening Date/Time,,03-08-2021 16:30:00,
RA Life Cycle (From Publish Date),,90 (Days),
RA Offer Validity (From End Date),,75 (Days),
Ministry/State Name,,Bihar,
Department Name,,Urban Development & Housing Department Bihar,
Organisation Name,,Urban Development And Housing Department,
Office Name,,Hajipur,
Total Quantity,,2,
Item Category,,"Wheeled Skid Steer Loader - as per IS/ISO 7131: 2009(Latest)",
Average Turnover (Last 3 Years),,23 Lakh (s),
OEM Average Turnover (Last 3 Years),,100 Lakh (s),
Experience Criteria,,3 Year (s),
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
Document required from seller,,"Experience Criteria,Past Performance,BidderTurnover,Certificate (Requested in ATC),OEM AuthorizationCertificate,OEM Annual Turnover*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
Past Performance,,80 %,
Evaluation Method,,Total value wise evaluation,
"",Advisory Bank,,State Bank of India,
"",EMD Percentage(%),,2.00,
"",EMD Amount,,95760,
"",Advisory Bank,,State Bank of India,
"",ePBG Percentage(%),,3.00,
"",Duration of ePBG required (Months).,,26,
Brand Type,Registered Brand,
Specification,Specification Name,Bid Requirement (Allowed Values)
Generic Parameters,"Self Propelled wheeledmachine which has front-mounted equipmentprimarily designed forloading operation (bucketuse) and which loads orexcavates through forwardmotion of the machine",Yes
"Conforming to IS/ISO 7131:2009",Yes,
Type of loader,Wheeled,
Attachment,multi-purpose bucket,
Ignition type,Diesel,
Aspiration,Naturally aspirated,
Number Of Cylinders,4,
bore (mm),84.0,
stroke (mm),100.0,
"Net flywheel power at givenengine speed (hp)",44.0,
"Maximum Engine torque(Nm)",143,
Engine cooling system,Liquid cooled,
Drive system,All-wheel drive,
Emission Complaince,BS III,
Gross Power (hp),47.8,
Operating Weight (Kg),2970.0,
Arm lifting force,17358.0,
Operating Speed (kmph),12,
Maximum Speed (kmph),12,
Operating Load Rating,703,
Wheel Base (mm),1070.0,
Ground Clearance (mm),More than 210.0 Or higher,
Operating voltage (Volts),12,
Operating mass (kg),2970.0,
Shipping Mass (kg),2900.0,
"Vehicle CertificationARAI/VRDE/ICAT",Yes,
"Compliance with pollutionstandards, safety standardsof components and roadworthiness as per CMVRrules",Yes,
Specification,Specification Name,Bid Requirement (Allowed Values)
"CertificationParameters","Availibility of test report forthe product from AnyILAC/NABl accredited/centralgovernment lab to befurnished to buyers ondemand",Yes
"","Responsibility ofRegistration with RTO",Yes
"","IS 11114 : 2006 Earth-moving machinery -Definitions of dimensionsand codes: base machine",Yes
"","IS 11114 : 2006 Earth-moving machinery -Definitions of dimensionsand codes: Equipment andattachments",Yes
"","IS/ISO 6165 : 2012 Earthmoving machinery - basictypes - Identification andterms and definitions",Yes
"","IS 13116 : 2006 Earth-moving machinery -EngineTest Code - Net power",Yes
"","ISO 3450: Earth MovingMachinery -Braking systemsof Rubber-tyred machines -Systems and Performancerequirements and testprocedures",Yes
"","IS13116 : 2006 Earth-moving machinery -EngineTest Code - Net power",Yes
"ConstructionalParameters",Overall operating height,3900.0
Operating load,703.0,
Type of transmission,hydrostatic,
Type of Driving Axle,Hydrostatic,
Steering system,All-Wheel Steer,
Fuel tank capacity,98.0,
Net Engine Power,45.0,
"Tipping load at maxiimumreach (KN)",1406,
"Lift capacity to maximumheight",3000.0,
Rated operating capacity,703.0,
Breakout force,18142.0,
raising time,3.61,
"Maximum travel speed(kmph)",12,
Specification,Specification Name,Bid Requirement (Allowed Values)
"",Warranty time,12.0
"Operating hours duringwarranty period",2000.0,
Battery warranty,12.0,
Number Of Free services,4,
S.No.,"Consignee/Reporting Officer",Address,Quantity,Delivery Days
1,Manoj Kumar Sahni,"844101,RAMBALAK CHOWK,HAJIPUR",2,30
