Bid Details,
Bid End Date/Time,06-08-2021 13:00:00
Bid Opening Date/Time,06-08-2021 13:30:00
Bid Life Cycle (From Publish Date),90 (Days)
Bid Offer Validity (From End Date),60 (Days)
Ministry/State Name,Ministry Of Railways
Department Name,Na
Organisation Name,N/a
Office Name,Western Railway
Total Quantity,2
Item Category,"Portable (Backpack) High Pressure water mist+ CAFs firefighting system 9 Lts (Asper EN 3-7-2004 &"
"Minimum Average Annual Turnover of theBidder",3 Lakh (s)
OEM Average Turnover (Last 3 Years),12 Lakh (s)
Years of Past Experience required,3 Year (s)
"MSE Exemption for Years Of Experienceand Turnover",Yes
"Startup Exemption for Years Of Experienceand Turnover",Yes
Document required from seller,"Experience Criteria,Past Performance,BidderTurnover,Certificate (Requested in ATC),OEM AuthorizationCertificate,OEM Annual Turnover,Additional Doc 1(Requested in ATC),Additional Doc 2 (Requested inATC),Additional Doc 3 (Requested in ATC),Additional Doc 4(Requested in ATC),Compliance of BoQ specification andsupporting document*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer"
Past Performance,80 %
Bid to RA enabled,No
"Time allowed for Technical Clarificationsduring technical evaluation",2 Days
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",No
Evaluation Method,Total value wise evaluation
"",Required,,No,
"",Required,,No,
"",MII Purchase Preference,,Yes,
"",MSE Purchase Preference,,Yes,
Brand Type,Unbranded,
"",Buyer Specification Document,,Download,
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer457001,SR.Divisional MaterialsManager, Divisional Railway1Santosh Yagnik230Manager Office, Do Batti,RATLAM (M.P.)",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,Santosh Yagnik,,"457001,SR.Divisional MaterialsManager, Divisional RailwayManager Office, Do Batti,RATLAM (M.P.)",,2,,30,
