RA Details,,,
RA Technical End Date/Time,,02-08-2021 13:00:00,
RA Opening Date/Time,,02-08-2021 13:30:00,
RA Life Cycle (From Publish Date),,90 (Days),
RA Offer Validity (From End Date),,30 (Days),
Ministry/State Name,,Ministry Of Corporate Affairs,
Department Name,,Na,
Organisation Name,,Indian Institute Of Corporate Affairs (iica),
Office Name,,Manesar,
Total Quantity,,1,
Item Category,,Laptop-Notebook,
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
"Time allowed for Technical Clarificationsduring technical evaluation",,3 Days,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
Brand Type,Registered Brand
Specification,Specification Name,Bid Requirement (Allowed Values)
Processor,Processor Make,Intel
"",Processor Generation,11.0 Or higher
"","Number of Cores perProcessor","4, 6, 8 Or higher"
"","Processor Base Frequency(GHz)","2.4, 2.5, 2.6, 2.7, 2.8, 2.9, 3, 3.1, 3.2, 3.3, 3.4, 3.5,3.6, 3.7, 3.8, 3.9, 4, 4.1, 4.2, 4.3, 4.7 Or higher"
"",Processor Description,"Intel Core i5, Intel Core i7 Or higher"
"",Processor Number,"Intel Core i7 1165G7, Intel Core i5 1135G7 Or higher"
Graphics,Graphics Type,Integrated
"","Size of Memory in Case ofDedicated Graphic Card (GB)","0, 1, 2, 3, 4, 6 Or higher"
Operating System,"Operating System (FactoryPre-Loaded)",Windows 10 Professional
Memory,RAM Size (GB),"8, 16, 32, 64 Or higher"
Storage,"Type of Drives used topopulate the Internal Bays","HDD, SSD, SSHD, SSED, PCIe SSD, EMMC"
"",Total HDD Capacity (GB),"500, 1000, 1500, 2000, 2500, 3000, 0 Or higher"
"",Capacity of each SSD (GB),"128, 256, 512, 1024, 2048, 0"
"",Total SSD Capacity (GB),"128, 256, 384, 512, 768, 1024, 1280, 2048, 4096, 0Or higher"
"",Capacity of each SSHD (GB),"8 GB Flash + 500 GB @5400 rpm, 8 GB Flash + 1000GB @5400 rpm, 8 GB Flash + 2000 GB @5400 rpm, NAOr higher"
"","Total SSHD Capacity inaddition to 8 GB Flash (GB)","500, 1000, 1500, 0 Or higher"
Connectivity,Wireless Connectivity,Yes
"",Number of Ethernet Ports,1 Or higher
Display,Display Size (Inch),"14, 15, 15.4, 15.6, 16 Or higher"
Display Type,"Non Touch, Touch Or higher",
Display Resolution (Pixels),"1920x1080, 1920 x 1200, 3200x1800, 3840 x 2160,2304 x 1440, 2560 x 1600, 2736 x 1824, 2880 x 1800,2256x1504, 3000x2000, 3240x2160, 3272 x 1920,2880 x 1920, 3072 x 1920 Or higher",
Optical Drive,"Integrated, External, NA Or higher",
Type of Keyboard,"Standard, Bilingual, Standard with Rupee Symbol Orhigher",
"Weight (Including Battery)(Kilogram)",1.0 - 1.6 Or lower,
Specification,Specification Name,Bid Requirement (Allowed Values)
Warranty,Battery Warranty,"1, 3, 4, 5 Or higher"
"On Site OEM Warranty(Year)",3,
S.No.,"Consignee/Reporting Officer",Address,Quantity,Delivery Days
1,Vineet Aggarwal,"122052,Indian Institute ofCorporate Affairs Ministry ofCorporate Affairs Govt. of India,Plot No. 6,7, 8, Sector 5, IMT,Manesar",1,15
