RA Details,,,
RA Technical End Date/Time,,09-08-2021 10:00:00,
RA Opening Date/Time,,09-08-2021 10:30:00,
RA Life Cycle (From Publish Date),,90 (Days),
RA Offer Validity (From End Date),,60 (Days),
Ministry/State Name,,Ministry Of Defence,
Department Name,,Department Of Military Affairs,
Organisation Name,,Indian Air Force,
Office Name,,***********,
Total Quantity,,20,
Item Category,,Electronic Lectern,
MSE Exemption for Years Of Experience,,Yes,
"Startup Exemption for Years of Experienceand Turnover",,No,
Document required from seller,,"Experience Criteria*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
"Time allowed for Technical Clarificationsduring technical evaluation",,3 Days,
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",,Yes,
"Inspection to be carried out by Buyers ownempanelled agency",,Yes,
Type Of Inspection,,Post Dispatch,
"Name of the Empanelled InspectionAgency/ Authority",,Board of Officers,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
Brand Type,Registered Brand
Specification,Specification Name,Bid Requirement (Allowed Values)
Chasiss,Type of Chassis/ Frame,Metallic
Type,Type of Electronic Lectern,Processor Based
Display,Display,Available
"",Display Size (inches),"Less than 15, 15 to 16, 17 to 18, 19 to 20, 21 to 22,NA"
"",Display Type,"TFT, LCD, LED, NA"
"",Screen Resolution (Pixles),"640×480, 800×600, 1024×768, 1400×1050,1600×1200, 2048×1536, 1280×800, 1440×900,1680×1050, 1920×1200, 1024×576, 1152×648,1280×720, 1366×768, 1600×900, 1920×1080, NA,640×480"
"",Stylus,"Yes, No"
"",Stylus Type,Battery Free Pen
"",Vandal Resistant Screen,"Yes, No"
"",Brightness (NITS) Minimum,200
System Details,"Operating System (Pre-loaded)","DOS, Linux, Windows 8.1, Windows 10, MicrosoftEducation, Android, NA"
"",Storage/HDD (GB),0
"",Built-in Mouse,Not-Available
Visualiser,Remote Control,Not-Available
"",VGA Port,Not-Available
"",HDMI,Not-Available
"",SD Card Slot,Not-Available
"",USB 3,Not-Available
Built-in Devices,Central Control Panel,Not-Available
"",Wireless Mic,"3, 1"
"",Handheld Mic,1
"",Amplifier,Available
Console Panel Ports,"Power Backup Min 30Minutes",Not Available
Generic Information,"On site OEM Warranty inyears",1
S.No.,"Consignee/Reporting Officer",Address,Quantity,Delivery Days
1,***********,***********TIRUVALLUR,20,15
