Bid Details,
Bid End Date/Time,06-08-2021 13:00:00
Bid Opening Date/Time,06-08-2021 13:30:00
Bid Life Cycle (From Publish Date),90 (Days)
Bid Offer Validity (From End Date),70 (Days)
Ministry/State Name,Uttar Pradesh
Department Name,Medical Education Department Uttar Pradesh
Organisation Name,Directorate Of Medical Education And Training
Office Name,Director General Medical Education
Total Quantity,1
Item Category,General Surgery Instrument Set
"Minimum Average Annual Turnover of theBidder",3 Lakh (s)
OEM Average Turnover (Last 3 Years),5 Lakh (s)
Years of Past Experience required,3 Year (s)
"MSE Exemption for Years Of Experienceand Turnover",Yes
"Startup Exemption for Years of Experienceand Turnover",No
Document required from seller,"Experience Criteria,Past Performance,BidderTurnover,Certificate (Requested in ATC),OEM AuthorizationCertificate,OEM Annual Turnover,Additional Doc 2(Requested in ATC),Additional Doc 3 (Requested inATC),Compliance of BoQ specification and supportingdocument*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer"
Past Performance,50 %
Bid to RA enabled,No
"Comprehensive Maintenance ChargesRequired",Yes
"Time allowed for Technical Clarificationsduring technical evaluation",2 Days
Evaluation Method,Total value wise evaluation
"",Required,,No,
"",Required,,No,
"",MII Purchase Preference,,No,
"",MSE Purchase Preference,,Yes,
Brand Type,Unbranded,
"",Buyer Specification Document,,Download,
"Comprehensive MaintenanceWarranty of required product5 YearComprehensive Maintenance Duration (Post5 YearWarranty)",Comprehensive Maintenance,
Warranty of required product,,5 Year
"Comprehensive Maintenance Duration (PostWarranty)",,5 Year
"",% of Product Cost Payable on Product Delivery,,90%,
Min Cost Allocation for ICT as a % of product cost,,10%,,
"Number of days allowed for ICT after site readinesscommunication to seller",,15 Days,,
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer208002,Swaroop Nagar,1Chandra Sen Singh115Kanpur",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,Chandra Sen Singh,,"208002,Swaroop Nagar,Kanpur",,1,,15,
