Bid Details,
Bid End Date/Time,11-08-2021 16:00:00
Bid Opening Date/Time,11-08-2021 16:30:00
Bid Life Cycle (From Publish Date),90 (Days)
Bid Offer Validity (From End Date),75 (Days)
Ministry/State Name,Ministry Of Defence
Department Name,Department Of Defence Production
Organisation Name,Indian Ordnance Factories
Office Name,***********
Total Quantity,48485
Item Category,"PROTECTIVE PLUG FOR SHELL BODY TO DRG NO. SK-7747/B"
"MSE Exemption for Years of Experience andTurnover",No
"Startup Exemption for Years of Experienceand Turnover",No
Document required from seller,"Additional Doc 1 (Requested in ATC),Additional Doc 2(Requested in ATC),Additional Doc 3 (Requested inATC),Additional Doc 4 (Requested in ATC)*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer"
Bid to RA enabled,No
"Time allowed for Technical Clarificationsduring technical evaluation",5 Days
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",Yes
"Inspection to be carried out by Buyers ownempanelled agency",Yes
Type Of Inspection,Stage-wise Inspection
"Name of the Empanelled InspectionAgency/ Authority",Board of Officers
Quality Assurance Plan document,1627375466.pdf
Estimated Bid Value,199661.23
Evaluation Method,Total value wise evaluation
"",Required,,No,
"",Required,,No,
"",Splitting Applied,,Yes,
"Maximum No. Of Bidders Amongst Which OrderMay Be Split",,2,,
"Split Criteria based on which quantity will bedistributed",,"TE quantity will be distributed to L-1 and L-2 firms in theration of 60 % on L-1 firm and 40 % on L-2 firm, subject toL-2 firm acceptance of L-1 price (price excluding levies,taxes and duties such as GST etc) and other supplyconditions. If L-2 firm does not accept the counter offered L-1 rate then such undistributed quantity shall revert back toL-1 bidder. The above quantity distribution clause isapplicable if at least three offers are received(as per OFBPM2018 Part-IV-Special conditions of TE clauses 4.11)",,
"",MII Purchase Preference,,No,
"",MSE Purchase Preference,,Yes,
Brand Type,Unbranded,
"",Buyer Specification Document,,Download,
"",,,,
"",DrawingDocument1,,View,
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer1**********************NAGPUR48485120",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,***********,,***********NAGPUR,,48485,,120,
