Bid Details,
Bid End Date/Time,06-08-2021 14:00:00
Bid Opening Date/Time,06-08-2021 14:30:00
Bid Life Cycle (From Publish Date),90 (Days)
Bid Offer Validity (From End Date),70 (Days)
Ministry/State Name,Ministry Of Defence
Department Name,Department Of Defence Production
Organisation Name,Indian Ordnance Factories
Office Name,***********
Total Quantity,5013
Item Category,"TRUMPET LINER FOR DPICM WARHEAD AS PER THE ARDEDRAWING NO. 8603 03 04 02 01 002 00DB"
Years of Past Experience required,1 Year (s)
"MSE Exemption for Years of Experience andTurnover",No
"Startup Exemption for Years of Experienceand Turnover",No
Document required from seller,"Experience Criteria,Past Performance,Additional Doc 1(Requested in ATC),Additional Doc 2 (Requested inATC),Additional Doc 3 (Requested in ATC),Additional Doc 4(Requested in ATC)*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer"
Past Performance,60 %
Bid to RA enabled,No
"Time allowed for Technical Clarificationsduring technical evaluation",3 Days
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",Yes
"Inspection to be carried out by Buyers ownempanelled agency",Yes
Type Of Inspection,Stage-wise Inspection
"Name of the Empanelled InspectionAgency/ Authority",Board of Officers
Quality Assurance Plan document,1627358137.pdf
Estimated Bid Value,2460781.44
Bid Details,,,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Advisory Bank,,State Bank of India,
ePBG Percentage(%),,3.00,,
Duration of ePBG required (Months).,,14,,
"",MII Purchase Preference,,Yes,
"",MSE Purchase Preference,,Yes,
Brand Type,Unbranded,
"",Buyer Specification Document,,Download,
"",DrawingDocument1,,View,
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer1**********************NAGPUR5013120",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,***********,,***********NAGPUR,,5013,,120,
