Bid Details,
Bid End Date/Time,16-08-2021 14:00:00
Bid Opening Date/Time,16-08-2021 14:30:00
Bid Life Cycle (From Publish Date),90 (Days)
Bid Offer Validity (From End Date),70 (Days)
Ministry/State Name,Ministry Of Defence
Department Name,Department Of Defence Production
Organisation Name,Indian Ordnance Factories
Office Name,***********
Total Quantity,4380
Item Category,"MINE A/T 4D ND (EMPTY ASSEMBLY) TO DRG PT NO ITX-46ADC NO-36789-A DT. 22.10. 01 AND SPECN. CQA(A)"
Years of Past Experience required,3 Year (s)
"MSE Exemption for Years Of Experienceand Turnover",Yes
"Startup Exemption for Years Of Experienceand Turnover",Yes
Document required from seller,"Experience Criteria,Past Performance,BidderTurnover,Certificate (Requested in ATC)*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer"
Past Performance,60 %
Bid to RA enabled,No
"Time allowed for Technical Clarificationsduring technical evaluation",3 Days
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",Yes
"Inspection to be carried out by Buyers ownempanelled agency",Yes
Type Of Inspection,Post Dispatch
"Name of the Empanelled InspectionAgency/ Authority",Board of Officers
Evaluation Method,Total value wise evaluation
"",Required,,No,
"",Advisory Bank,,State Bank of India,
ePBG Percentage(%),,3.00,,
Duration of ePBG required (Months).,,14,,
"",MII Purchase Preference,,Yes,
"",MSE Purchase Preference,,Yes,
Brand Type,Unbranded,
"",Buyer Specification Document,,Download,
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer1**********************BALANGIR4380120",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,***********,,***********BALANGIR,,4380,,120,
