Bid Details,
Bid End Date/Time,17-08-2021 10:00:00
Bid Opening Date/Time,17-08-2021 10:30:00
Bid Life Cycle (From Publish Date),90 (Days)
Bid Offer Validity (From End Date),30 (Days)
Ministry/State Name,Odisha
Department Name,"Skill Development And Technical Education Department.Odisha"
Organisation Name,N/a
Office Name,"Directorate Of Technical Education And Training , Odisha ,Cuttack"
Total Quantity,2
Item Category,"Hydraulic Trainer with Work station , Cut Section ofHydraulic & Pneumatic Components"
"Minimum Average Annual Turnover of theBidder",2 Lakh (s)
OEM Average Turnover (Last 3 Years),15 Lakh (s)
Years of Past Experience required,3 Year (s)
"MSE Exemption for Years of Experience andTurnover",No
"Startup Exemption for Years of Experienceand Turnover",No
Document required from seller,"Experience Criteria,Past Performance,BidderTurnover,Certificate (Requested in ATC),OEM AuthorizationCertificate,OEM Annual Turnover,Additional Doc 1(Requested in ATC),Compliance of BoQ specification andsupporting document*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer"
Past Performance,50 %
Bid to RA enabled,Yes
Primary product category,Cut Section of Hydraulic & Pneumatic Components
"Time allowed for Technical Clarificationsduring technical evaluation",2 Days
Evaluation Method,Total value wise evaluation
"",Required,,No,
"",Required,,No,
"",MII Purchase Preference,,No,
"",MSE Purchase Preference,,Yes,
Brand Type,Unbranded,
"",Buyer Specification Document,,Download,
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer761106,GOVT ITI1Rajeeb Kumar Das145Sheragada,Ganjam",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,Rajeeb Kumar Das,,"761106,GOVT ITISheragada,Ganjam",,1,,45,
Brand Type,Unbranded,
"",Buyer Specification Document,,Download,
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer761106,GOVT ITI1Rajeeb Kumar Das145Sheragada,Ganjam",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,Rajeeb Kumar Das,,"761106,GOVT ITISheragada,Ganjam",,1,,45,
