Bid Details,
Bid End Date/Time,06-08-2021 18:00:00
Bid Opening Date/Time,06-08-2021 18:30:00
Bid Life Cycle (From Publish Date),90 (Days)
Bid Offer Validity (From End Date),30 (Days)
Ministry/State Name,Ministry Of Defence
Department Name,Department Of Defence
Organisation Name,Indian Coast Guard
Office Name,***********
Total Quantity,1
Item Category,"ANNUAL UNDERWATER ROUTINE OF INTERCEPTOR CRAFTIC-110 AND IC-113"
"Minimum Average Annual Turnover of theBidder",5 Lakh (s)
Years of Past Experience required,2 Year (s)
"MSE Exemption for Years Of Experienceand Turnover",Yes
"Startup Exemption for Years of Experienceand Turnover",No
Document required from seller,"Experience Criteria,Past Performance,Bidder Turnover*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer"
Past Performance,10 %
Bid to RA enabled,Yes
"Time allowed for Technical Clarificationsduring technical evaluation",2 Days
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",Yes
"Inspection to be carried out by Buyers ownempanelled agency",Yes
Type Of Inspection,Stage-wise Inspection
"Name of the Empanelled InspectionAgency/ Authority",Commanding Officer
Evaluation Method,Total value wise evaluation
"",Required,,No,
"",Advisory Bank,,State Bank of India,
ePBG Percentage(%),,3.00,,
Duration of ePBG required (Months).,,6,,
"",Reserved for Make In India products,,Yes,
"",Reserved for MSE,,Yes,
Brand Type,Unbranded,
"",Buyer Specification Document,,Download,
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer1**********************JAMNAGAR160",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,***********,,***********JAMNAGAR,,1,,60,
