RA Details,,,
RA Technical End Date/Time,,05-08-2021 19:00:00,
RA Opening Date/Time,,05-08-2021 19:30:00,
RA Life Cycle (From Publish Date),,90 (Days),
RA Offer Validity (From End Date),,30 (Days),
Ministry/State Name,,Odisha,
Department Name,,Housing And Urban Development Department Odisha,
Organisation Name,,Rairangpur Municipality,
Office Name,,Rairangpur Municipality,
Total Quantity,,1,
Item Category,,"Screening Machine with Conveyor for processing MunicipalWaste",
Experience Criteria,,3 Year (s),
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
Document required from seller,,"Experience Criteria,Past Performance,BidderTurnover,Certificate (Requested in ATC),OEM AuthorizationCertificate,OEM Annual Turnover,Additional Doc 1(Requested in ATC),Additional Doc 2 (Requested inATC),Additional Doc 3 (Requested in ATC),Additional Doc 4(Requested in ATC),Compliance of BoQ specification andsupporting document*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
Past Performance,,80 %,
Estimated RA Value,,1500000,
Evaluation Method,,Total value wise evaluation,
"",Advisory Bank,,HDFC Bank,
"",EMD Percentage(%),,5.00,
"",EMD Amount,,75000,
"",Advisory Bank,,HDFC Bank,
"",ePBG Percentage(%),,10.00,
"",Duration of ePBG required (Months).,,3,
Pre-Bid Date and Time,Pre-Bid Venue,
2021-07-30 16:00:00,"OFFICE OF THE EXECUTIVE OFFICER, RAIRANGPUR MUNICIPALITY",
Brand Type,Registered Brand
Specification,Specification Name,Bid Requirement (Allowed Values)
"PerformanceParameters","Application of ScreeningMachine","Screening machine for screening of compost convertedfrom garbage"
"","Maximum Capacity ofScreening machine taking 8hrs per day operation intonnes(1000 Kg) withtolerance ± 1 T",5
"",Input Electrical Supply,Three phase (440 V. 50 Hz)
"","Power of geared motor formain drive in HP @rpm at1440 RPM",5 HP
"",Motor class,IE2
"",Type of control panel,Manual Based
"","Features of Belt conveyorprovided","3 equal roll through belt conveyor, 2 equal roll throughbelt conveyor, Single roll through belt conveyor"
"",Take up,Screw type take for belt tightening
"","Warranty (with free spareparts and free service) onmachine in Years",1
"","Number of preventativemaintenance visits duringwarranty (number perannum)",2
"","Supporting structure for theconveyor",Fabricated from channel 100 mm x 50 mm
"DimensionalParameters",Diameter of screen in mm,1000
Length of the screen in mm,4500,
"Thickness of the screen inmm",1.6 mm,
"Perforation of the screendiameter in mm",4,
"Center to center length inmeter",9.5 mtr,
Belt width in mm,600 mm,
Conveyor frame size,channel 100 mm x 50 mm,
Tail Drum Diameter in mm,320,
"Range of Capacity handledby Conveyor in TPH",5-10,
"Motor Power of gearedMotor in HP for Conveyor@1440 RPM",2,
Specification,Specification Name,Bid Requirement (Allowed Values)
Reports,"Availability of ISOCertification for Screeningmachine",Yes
"Availability of CECertification machine",Yes,
"Availability of test reportfrom central govt/NABL/ILACaccredited lab to proveconformity to specificationindicated including safetyrequirements as per IS 302latest",Yes,
"Copies of Certifications ofmanufacturer, Certificatesfrom manufacturers forbought out components andmaterial test certificates tobe submitted to Buyer ondemand after placement oforder",Yes,
S.No.,"Consignee/Reporting Officer",Address,Quantity,Delivery Days
1,Mrutyunjaya Pahi,"757043,EXECUTIVE OFFICER,RAIRANGPUR MUNICIPALITY,RAIRANGPUR",1,15
