Bid Details,
Bid End Date/Time,17-08-2021 18:00:00
Bid Opening Date/Time,17-08-2021 18:30:00
Bid Life Cycle (From Publish Date),90 (Days)
Bid Offer Validity (From End Date),65 (Days)
Ministry/State Name,Uttar Pradesh
Department Name,Medical Education Department Uttar Pradesh
Organisation Name,"Sanjay Gandhi Post Graduate Institute Of Medical SciencesLucknow"
Office Name,Sgpgims Raibareily Road Lucknow
Total Quantity,1
Item Category,BOQ
"Minimum Average Annual Turnover of theBidder",40 Lakh (s)
OEM Average Turnover (Last 3 Years),316 Lakh (s)
Years of Past Experience required,3 Year (s)
"MSE Exemption for Years of Experience andTurnover",No
"Startup Exemption for Years of Experienceand Turnover",No
Document required from seller,"Experience Criteria,Past Performance,BidderTurnover,Certificate (Requested in ATC),OEM AuthorizationCertificate,OEM Annual Turnover,Additional Doc 1(Requested in ATC),Additional Doc 2 (Requested inATC),Additional Doc 3 (Requested in ATC),Additional Doc 4(Requested in ATC),Compliance of BoQ specification andsupporting document*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer"
Past Performance,10 %
Bid to RA enabled,No
"Time allowed for Technical Clarificationsduring technical evaluation",2 Days
Estimated Bid Value,7900000
Evaluation Method,Total value wise evaluation
"",Advisory Bank,,State Bank of India,
EMD Percentage(%),,1.00,,
EMD Amount,,79000,,
"",Advisory Bank,,State Bank of India,
ePBG Percentage(%),,10.00,,
Duration of ePBG required (Months).,,62,,
Brand Type,Unbranded,
"",Specification Document,,View File,
BOQ Document,,View File,,
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer226014,SANJAY GANDHIPrakash ChandraPOSTGRADUATE INSTITIUTE OF11365GuptaMEDICAL SCIENCES LUCKNOW226014",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,"Prakash ChandraGupta",,"226014,SANJAY GANDHIPOSTGRADUATE INSTITIUTE OFMEDICAL SCIENCES LUCKNOW226014",,1,,365,
