Bid Details,
Bid End Date/Time,05-08-2021 18:00:00
Bid Opening Date/Time,05-08-2021 18:30:00
Bid Life Cycle (From Publish Date),90 (Days)
Bid Offer Validity (From End Date),75 (Days)
Ministry/State Name,Uttar Pradesh
Department Name,Medical Education Department Uttar Pradesh
Organisation Name,Directorate Of Medical Education And Training
Office Name,Director General Medical Education
Total Quantity,1
Item Category,VESCULAR SET
"Minimum Average Annual Turnover of theBidder",8 Lakh (s)
OEM Average Turnover (Last 3 Years),15 Lakh (s)
Years of Past Experience required,3 Year (s)
"MSE Exemption for Years Of Experienceand Turnover",Yes
"Startup Exemption for Years of Experienceand Turnover",No
Document required from seller,"Experience Criteria,Past Performance,BidderTurnover,Certificate (Requested in ATC),OEM AuthorizationCertificate,OEM Annual Turnover,Additional Doc 2(Requested in ATC),Additional Doc 3 (Requested inATC),Additional Doc 4 (Requested in ATC),Compliance ofBoQ specification and supporting document*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer"
Past Performance,50 %
Bid to RA enabled,No
"Comprehensive Maintenance ChargesRequired",Yes
"Time allowed for Technical Clarificationsduring technical evaluation",2 Days
Evaluation Method,Total value wise evaluation
"",Advisory Bank,,State Bank of India,
EMD Percentage(%),,2.50,,
EMD Amount,,37500,,
"",Required,,No,
"",MII Purchase Preference,,No,
"",MSE Purchase Preference,,Yes,
Brand Type,Unbranded,
"",Buyer Specification Document,,Download,
"Comprehensive MaintenanceWarranty of required product5 YearComprehensive Maintenance Duration (Post5 YearWarranty)",Comprehensive Maintenance,
Warranty of required product,,5 Year
"Comprehensive Maintenance Duration (PostWarranty)",,5 Year
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer208002,Swaroop Nagar,1Chandra Sen Singh115Kanpur",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,Chandra Sen Singh,,"208002,Swaroop Nagar,Kanpur",,1,,15,
