Bid Details,
Bid End Date/Time,17-08-2021 14:00:00
Bid Opening Date/Time,17-08-2021 14:30:00
Bid Life Cycle (From Publish Date),90 (Days)
Bid Offer Validity (From End Date),30 (Days)
Ministry/State Name,Himachal Pradesh
Department Name,Education Department Himachal Pradesh
Organisation Name,Higher Education Department
Office Name,Sardar Vallabhbhai Patel Cluster University Mandi
Total Quantity,2
Item Category,"Double Beam UV-Visible Spectrophotometer & FTIRSpectrophotometer"
"Minimum Average Annual Turnover of theBidder",8 Lakh (s)
OEM Average Turnover (Last 3 Years),60 Lakh (s)
Years of Past Experience required,3 Year (s)
"MSE Exemption for Years of Experience andTurnover",No
"Startup Exemption for Years of Experienceand Turnover",No
Document required from seller,"Experience Criteria,Past Performance,Bidder Turnover,OEMAuthorization Certificate,OEM Annual Turnover,AdditionalDoc 1 (Requested in ATC),Compliance of BoQ specificationand supporting document*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer"
Past Performance,10 %
Bid to RA enabled,No
"Comprehensive Maintenance ChargesRequired",Yes
"Time allowed for Technical Clarificationsduring technical evaluation",3 Days
Estimated Bid Value,1500000
Evaluation Method,Total value wise evaluation
"",Required,,No,
"",Advisory Bank,,State Bank of India,
ePBG Percentage(%),,1.00,,
Duration of ePBG required (Months).,,1,,
"",MSE Purchase Preference,,No,
"",MII Purchase Preference,,No,
Brand Type,Unbranded,
"",Buyer Specification Document,,Download,
"Comprehensive MaintenanceWarranty of required product3 YearComprehensive Maintenance Duration (Post5 YearWarranty)",Comprehensive Maintenance,
Warranty of required product,,3 Year
"Comprehensive Maintenance Duration (PostWarranty)",,5 Year
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer175001,Govt. PG College1Manoj Kumar230complex Mandi",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,Manoj Kumar,,"175001,Govt. PG Collegecomplex Mandi",,2,,30,
