Bid Details,
Bid End Date/Time,05-08-2021 10:00:00
Bid Opening Date/Time,05-08-2021 10:30:00
Bid Life Cycle (From Publish Date),90 (Days)
Bid Offer Validity (From End Date),30 (Days)
Ministry/State Name,Ministry Of Defence
Department Name,Department Of Military Affairs
Organisation Name,Indian Army
Office Name,***********
Total Quantity,1588
Item Category,Refined mustard oil-Defence
Years of Past Experience required,1 Year (s)
"MSE Exemption for Years of Experience andTurnover",No
"Startup Exemption for Years of Experienceand Turnover",No
Document required from seller,"Experience Criteria,Past Performance,Bidder Turnover*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer"
Past Performance,10 %
Bid to RA enabled,No
"Time allowed for Technical Clarificationsduring technical evaluation",2 Days
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",Yes
"Inspection to be carried out by Buyers ownempanelled agency",Yes
Type Of Inspection,Post Dispatch
"Name of the Empanelled InspectionAgency/ Authority",Commanding Officer
Quality Assurance Plan document,1627288477.pdf
Estimated Bid Value,3811200
Evaluation Method,Total value wise evaluation
"",Required,,No,
"",Advisory Bank,,State Bank of India,
ePBG Percentage(%),,3.00,,
Duration of ePBG required (Months).,,3,,
"",Reserved for Make In India products,,Yes,
"",MSE Purchase Preference,,Yes,
Brand Type,Registered Brand,
"SpecificationSpecification NameBid Requirement (Allowed Values)Packing and MarkingType of Packet / Net weightNew 15 Kg square tin conforming to BIS specificationof content in a packetNo. 10325-1989Test ReportsAvailability of Test Report fromYesCentral Govt/NABL/ILACaccredited lab to proveconformity to specificationTest Report to be submitted toYesthe Buyer on Demand (SelectNA if Test report is notavailable)",Specification,,Specification Name,,Bid Requirement (Allowed Values)
Packing and Marking,,"Type of Packet / Net weightof content in a packet",,"New 15 Kg square tin conforming to BIS specificationNo. 10325-1989",
Test Reports,,"Availability of Test Report fromCentral Govt/NABL/ILACaccredited lab to proveconformity to specification",,Yes,
"","Test Report to be submitted tothe Buyer on Demand (SelectNA if Test report is notavailable)",,Yes,,
"","Verified and Signed Tpdocument",,View,
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer1**********************GANGANAGAR158815",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,***********,,***********GANGANAGAR,,1588,,15,
