Bid Details,
Bid End Date/Time,17-08-2021 15:00:00
Bid Opening Date/Time,17-08-2021 15:30:00
Bid Life Cycle (From Publish Date),90 (Days)
Bid Offer Validity (From End Date),65 (Days)
Ministry/State Name,Ministry Of Defence
Department Name,Department Of Defence Production
Organisation Name,Indian Ordnance Factories
Office Name,***********
Total Quantity,1
Item Category,"MODULAR DRILL HEAD DIA 28MM DRILL BODY INSERT ANDSPARES"
"Minimum Average Annual Turnover of theBidder",6 Lakh (s)
OEM Average Turnover (Last 3 Years),46 Lakh (s)
Years of Past Experience required,3 Year (s)
"MSE Exemption for Years of Experience andTurnover",No
"Startup Exemption for Years of Experienceand Turnover",No
Document required from seller,"Experience Criteria,Past Performance,BidderTurnover,Certificate (Requested in ATC),OEM AuthorizationCertificate,OEM Annual Turnover,Additional Doc 1(Requested in ATC),Compliance of BoQ specification andsupporting document*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer"
Past Performance,80 %
Bid to RA enabled,No
"Time allowed for Technical Clarificationsduring technical evaluation",2 Days
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",No
Evaluation Method,Total value wise evaluation
"",Required,,No,
"",Advisory Bank,,State Bank of India,
ePBG Percentage(%),,3.00,,
Duration of ePBG required (Months).,,14,,
"",MII Purchase Preference,,Yes,
"",MSE Purchase Preference,,Yes,
Brand Type,Unbranded,
"",Buyer Specification Document,,Download,
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer1**********************TIRUVALLUR1120",S.No.
1,
S.No.,,,Document Title,,Description,,Applicable i.r.o. Items
1,,,"SPECIFICATIONView",,SPECIFICATION OF THE ITEM,,"MODULAR DRILL HEAD DIA 28MMDRILL BODY INSERT ANDSPARES(1)"
S.No.,,Document Title,,Description,,Applicable i.r.o. Items
2,,"PRE QUALIFICATIONCRITERIAView",,PRE QUALIFICATION CRITERIA,,"MODULAR DRILL HEAD DIA 28MMDRILL BODY INSERT ANDSPARES(1)"
